date,open,high,low,close,volume
2010-12-08,99.1430,99.8424,98.2687,99.3179,5943900
2010-12-09,100.3087,100.4253,99.4344,99.8424,4886213
2010-12-10,100.3670,104.2138,100.2504,103.2813,15736338
2010-12-13,104.2721,104.3304,102.2904,102.6984,8484450
2010-12-14,102.9321,104.3013,102.4653,103.1064,9545825
2010-12-15,102.8150,103.2230,101.2413,101.9407,8843700
2010-12-16,102.1739,104.1555,101.8241,103.5727,6739413
2010-12-17,103.3396,103.5727,102.4070,103.1647,8156325
2010-12-20,103.5727,103.7475,102.8733,103.1647,5068575
2010-12-21,103.6310,104.9133,103.3978,104.3304,5229625
2010-12-22,104.7280,106.1964,104.6693,106.0790,5372150
2010-12-23,105.7265,106.6076,105.6091,105.9615,3869863
2010-12-27,105.2566,107.0775,105.2566,106.8425,4164750
2010-12-28,106.9600,108.1347,106.6663,107.6061,5965500
2010-12-29,107.8998,108.6046,107.2537,107.3124,4321163
2010-12-30,107.3712,107.7823,106.6663,106.8425,3611788
2010-12-31,106.6076,107.7823,106.4901,107.4299,3384263
2011-01-03,108.6046,108.6634,107.0187,107.3712,6603525
2011-01-04,107.7236,109.3095,106.4314,109.3095,9877438
2011-01-05,108.7809,109.9556,108.1935,109.4857,6415300
2011-01-06,109.7794,109.9556,108.1935,109.0158,4955013
2011-01-07,109.1333,109.6032,106.9013,108.2522,7167063
2011-01-10,109.3095,110.1318,108.4284,108.7221,7874563
2011-01-11,109.8675,110.4842,109.1039,109.4270,5824163
2011-01-12,109.0745,110.0143,108.5459,109.6619,7651663
